Subtype	Cluster	Cell	Score	Celltype
MP	MP_49_3_Cluster7	TREM2+ Dendritic	0	Immune
MP	MP_49_3_Cluster7	Differentiating Basal	0.00577471318203674	Epithelial
MP	MP_49_3_Cluster7	Proliferating Basal	8.76404908453206e-05	Epithelial
MP	MP_49_3_Cluster7	Basal	0.0230580636202594	Epithelial
MP	MP_49_3_Cluster7	Plasma	0.000281605213581962	Immune
MP	MP_49_3_Cluster7	Macrophage	0.196583470165741	Immune
MP	MP_49_3_Cluster7	Basophil/Mast 1	0.00195599496275411	Immune
MP	MP_49_3_Cluster7	Proliferating Macrophage	4.4385634840401e-05	Immune
MP	MP_49_3_Cluster7	Capillary Aerocyte	0.0360792764237196	Endothelial
MP	MP_49_3_Cluster7	Capillary	0.00480807836192667	Endothelial
MP	MP_49_3_Cluster7	Bronchial Vessel 2	0.00118931139632948	Endothelial
MP	MP_49_3_Cluster7	Vein	0	Endothelial
MP	MP_49_3_Cluster7	Artery	0.00103744597072085	Endothelial
MP	MP_49_3_Cluster7	Lymphatic	0.0115087145791802	Endothelial
MP	MP_49_3_Cluster7	Bronchial Vessel 1	0.0046007588227796	Endothelial
MP	MP_49_3_Cluster7	Airway Smooth Muscle	0.0021233323463942	Stroma
MP	MP_49_3_Cluster7	Alveolar Epithelial Type 2	0.028828504438185	Epithelial
MP	MP_49_3_Cluster7	Club	0.121066965459459	Epithelial
MP	MP_49_3_Cluster7	Pericyte	0.00830523932433715	Stroma
MP	MP_49_3_Cluster7	Myofibroblast	0	Stroma
MP	MP_49_3_Cluster7	Alveolar Epithelial Type 1	0.112032707611896	Epithelial
MP	MP_49_3_Cluster7	Ciliated	0.0123051928554344	Epithelial
MP	MP_49_3_Cluster7	Adventitial Fibroblast	0	Stroma
MP	MP_49_3_Cluster7	Alveolar Fibroblast	0	Stroma
MP	MP_49_3_Cluster7	Lipofibroblast	0	Stroma
MP	MP_49_3_Cluster7	Mesothelial	0	Stroma
MP	MP_49_3_Cluster7	Capillary Intermediate 1	0	Endothelial
MP	MP_49_3_Cluster7	Capillary Intermediate 2	0.012626350206532	Endothelial
MP	MP_49_3_Cluster7	Vascular Smooth Muscle	0.00288110316443005	Stroma
MP	MP_49_3_Cluster7	Mucous	0.021949754922235	Epithelial
MP	MP_49_3_Cluster7	Proliferating NK/T	0.000236297041778759	Immune
MP	MP_49_3_Cluster7	Natural Killer T	0.00762777285283697	Immune
MP	MP_49_3_Cluster7	OLR1+ Classical Monocyte	0.00442494374881815	Immune
MP	MP_49_3_Cluster7	Intermediate Monocyte	0.00370695249286622	Immune
MP	MP_49_3_Cluster7	Basophil/Mast 2	0.000281474211941581	Immune
MP	MP_49_3_Cluster7	Signaling Alveolar Epithelial Type 2	0.0218505963900633	Epithelial
MP	MP_49_3_Cluster7	Proximal Basal	0	Epithelial
MP	MP_49_3_Cluster7	Neuroendocrine	0.00241376594113999	Epithelial
MP	MP_49_3_Cluster7	Fibromyocyte	0	Stroma
MP	MP_49_3_Cluster7	Ionocyte	0.0178039368698114	Epithelial
MP	MP_49_3_Cluster7	Serous	0	Epithelial
MP	MP_49_3_Cluster7	Proximal Ciliated	0.000452103746341169	Epithelial
MP	MP_49_3_Cluster7	Goblet	0.0320192290682839	Epithelial
MP	MP_49_3_Cluster7	Neutrophil	0.000114495489772043	Immune
MP	MP_49_3_Cluster7	Dendritic	0	Immune
Lep	Lep_ST_P8_1_Cluster6	CD4+ Memory/Effector T	0.012572550660043	Immune
Lep	Lep_ST_P8_1_Cluster6	CD4+ Naive T	0.00706605561952626	Immune
Lep	Lep_ST_P8_1_Cluster6	CD8+ Memory/Effector T	0.00658721915998312	Immune
Lep	Lep_ST_P8_1_Cluster6	CD8+ Naive T	0.0205880352092626	Immune
Lep	Lep_ST_P8_1_Cluster6	Natural Killer	0.107130458448383	Immune
Lep	Lep_ST_P8_1_Cluster6	Classical Monocyte	0.00803444113410145	Immune
Lep	Lep_ST_P8_1_Cluster6	Nonclassical Monocyte	0.000459539391058479	Immune
Lep	Lep_ST_P8_1_Cluster6	Myeloid Dendritic Type 2	0.000168776985898958	Immune
Lep	Lep_ST_P8_1_Cluster6	Platelet/Megakaryocyte	0.000229196578497969	Immune
Lep	Lep_ST_P8_1_Cluster6	B	0.0157908070785589	Immune
Lep	Lep_ST_P8_1_Cluster6	IGSF21+ Dendritic	0.00565394439362063	Immune
Lep	Lep_ST_P8_1_Cluster6	EREG+ Dendritic	0.00142261144474705	Immune
Lep	Lep_ST_P8_1_Cluster6	Plasmacytoid Dendritic	0	Immune
Lep	Lep_ST_P8_1_Cluster6	Myeloid Dendritic Type 1	0.000103237791578415	Immune
Lep	Lep_ST_P8_1_Cluster6	TREM2+ Dendritic	0.0129474062041865	Immune
Lep	Lep_ST_P8_1_Cluster6	Differentiating Basal	0.015020072703696	Epithelial
Lep	Lep_ST_P8_1_Cluster6	Proliferating Basal	0.0123594122169329	Epithelial
Lep	Lep_ST_P8_1_Cluster6	Basal	0.0203586306174254	Epithelial
Lep	Lep_ST_P8_1_Cluster6	Plasma	0.0125841738627425	Immune
Lep	Lep_ST_P8_1_Cluster6	Macrophage	0.295814646183212	Immune
Lep	Lep_ST_P8_1_Cluster6	Basophil/Mast 1	0.0117081266791501	Immune
Lep	Lep_ST_P8_1_Cluster6	Proliferating Macrophage	0.000492732641403575	Immune
Lep	Lep_ST_P8_1_Cluster6	Capillary Aerocyte	0.0679345906023798	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Capillary	0.0268271870885658	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Bronchial Vessel 2	0.00355935167719527	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Vein	0	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Artery	0.00148947438368808	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Lymphatic	0.00101756012725328	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Bronchial Vessel 1	5.02823599432462e-05	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Airway Smooth Muscle	0.00187978779804144	Stroma
Lep	Lep_ST_P8_1_Cluster6	Alveolar Epithelial Type 2	0.100466830505883	Epithelial
Lep	Lep_ST_P8_1_Cluster6	Club	0.0288797702981164	Epithelial
Lep	Lep_ST_P8_1_Cluster6	Pericyte	0.0612698540384965	Stroma
Lep	Lep_ST_P8_1_Cluster6	Myofibroblast	0.00128974205338463	Stroma
Lep	Lep_ST_P8_1_Cluster6	Alveolar Epithelial Type 1	0.061377861269599	Epithelial
Lep	Lep_ST_P8_1_Cluster6	Ciliated	0.0018550477131251	Epithelial
Lep	Lep_ST_P8_1_Cluster6	Adventitial Fibroblast	7.5795813933214e-05	Stroma
Lep	Lep_ST_P8_1_Cluster6	Alveolar Fibroblast	0.000296800846748128	Stroma
Lep	Lep_ST_P8_1_Cluster6	Lipofibroblast	0	Stroma
Lep	Lep_ST_P8_1_Cluster6	Mesothelial	2.23112972319032e-06	Stroma
Lep	Lep_ST_P8_1_Cluster6	Capillary Intermediate 1	0	Endothelial
Lep	Lep_ST_P8_1_Cluster6	Capillary Intermediate 2	0.0118190376523659	Endothelial
